timestamp,position
5:25,"13210, 2822"
9:25,"12641, 3203"
12:10,"13264, 2811"
14:59,"11472, 1074"
19:17,"6981, 1236"
20:36,"4499, 9723"
22:32,"1042, 10658"
23:37,"6518, 8200"
27:54,"5980, 5041"
30:30,"2058, 2559"
