timestamp,killed_by_champion,victim_champion,assisting_champions,position
7:44,Leona,MasterYi,['JarvanIV'],"10253, 2302"
12:49,TahmKench,Ashe,['Leona'],"14112, 4588"
19:20,Orianna,Zyra,['Leona'],"13661, 4085"
21:18,JarvanIV,Zyra,"['TahmKench', 'Leona']","9254, 8537"
