timestamp,victim_champion,assisting_champions,position
12:25,Zyra,[],"13598, 4120"
13:51,Ashe,['JarvanIV'],"11769, 1398"
15:05,Ashe,['Leona'],"13506, 2848"
15:54,Zyra,[],"13750, 5252"
17:07,Ashe,['Leona'],"13989, 6728"
18:29,Malphite,['Leona'],"11202, 5264"
20:34,Ashe,"['TahmKench', 'JarvanIV']","7317, 11636"
28:55,Akshan,['Leona'],"7296, 1091"
