timestamp,position
7:51,"13429, 3782"
10:01,"12108, 1708"
11:53,"10218, 1556"
13:22,"11649, 1839"
17:31,"10543, 2930"
24:46,"6832, 6460"
26:04,"6889, 7779"
28:04,"9253, 9609"
30:35,"11816, 7807"
34:30,"5334, 5614"
39:25,"5232, 8737"
