timestamp,position
7:56,"12538, 3150"
9:16,"11793, 2529"
18:24,"8528, 6688"
19:07,"5491, 5817"
21:31,"7103, 7911"
21:39,"7151, 8115"
21:42,"6667, 7925"
23:40,"6382, 7221"
24:43,"6644, 6729"
26:12,"6387, 6732"
34:25,"6330, 6140"
34:27,"5971, 5966"
35:59,"11150, 6052"
36:00,"11357, 6029"
36:06,"11429, 8113"
