timestamp,victim_champion,assisting_champions,position
12:40,Yasuo,['Seraphine'],"8493, 890"
15:57,Briar,"['Taliyah', 'Seraphine']","13566, 3594"
20:04,Rell,"['Taliyah', 'Seraphine']","6540, 3144"
23:03,Rell,"['Taliyah', 'Seraphine']","4549, 4210"
24:15,Yasuo,"['TahmKench', 'Shaco']","4666, 9689"
25:46,Briar,"['Shaco', 'Seraphine']","4691, 4774"
27:45,Rell,['TahmKench'],"1796, 1145"
