timestamp,position
4:54,"11676, 1390"
13:36,"13529, 1467"
14:49,"9653, 6343"
18:40,"5602, 8636"
22:13,"11696, 6693"
23:44,"7606, 8752"
24:48,"8590, 8942"
27:00,"8681, 6094"
30:57,"12866, 13330"
