match_id,timestamp,killed_by_champion,victim_champion,assisting_champions,position
NA1_4820792540,10:32,Taliyah,Yasuo,[],"12858, 2104"
NA1_4820792540,11:47,Seraphine,Rell,[],"10076, 951"
NA1_4820792540,20:44,Taliyah,Briar,[],"11802, 7006"
NA1_4820792540,22:15,TahmKench,Briar,['Taliyah'],"6494, 4840"
NA1_4820792540,23:10,Shaco,Varus,"['Taliyah', 'Seraphine']","5160, 5263"
NA1_4820792540,26:28,Taliyah,Yasuo,['Shaco'],"3173, 1558"
NA1_4820792540,27:50,Shaco,Briar,"['TahmKench', 'Seraphine']","2021, 1139"
