match_id,timestamp,killed_by_champion,assisting_champions,position
NA1_4820792540,1:31,Briar,"['Yasuo', 'Rell']","8608, 4574"
NA1_4820792540,5:07,Yasuo,"['Briar', 'Rell']","11810, 1364"
NA1_4820792540,7:31,Yasuo,"['Briar', 'Rell']","13365, 2043"
NA1_4820792540,9:16,Yasuo,['Rell'],"10369, 1408"
NA1_4820792540,10:21,Yasuo,[],"11013, 1317"
NA1_4820792540,11:46,Yasuo,['Rell'],"10163, 923"
NA1_4820792540,14:08,Yasuo,['Rell'],"8845, 4013"
NA1_4820792540,17:42,Briar,['Rell'],"7590, 3508"
NA1_4820792540,23:16,Yasuo,[],"6068, 5626"
NA1_4820792540,24:29,KSante,[],"4842, 6606"
NA1_4820792540,26:27,Yasuo,[],"3425, 1617"
