timestamp,position
2:54,"12193, 2227"
6:38,"12440, 1331"
6:41,"13510, 3096"
8:49,"11211, 1528"
14:21,"7642, 7002"
16:28,"4834, 6077"
18:14,"3478, 9860"
22:08,"5735, 1245"
