match_id,timestamp,victim_champion,assisting_champions,position
NA1_4819916591,6:56,Jhin,"['Warwick', 'Thresh']","12965, 3260"
NA1_4819916591,8:13,Jhin,['Thresh'],"11960, 2929"
NA1_4819916591,9:10,FiddleSticks,['Thresh'],"10973, 2134"
NA1_4819916591,9:13,Jhin,['Thresh'],"12418, 2132"
NA1_4819916591,11:28,Jhin,['Thresh'],"13490, 4660"
NA1_4819916591,14:56,FiddleSticks,['Thresh'],"13339, 3929"
NA1_4819916591,16:46,Jhin,[],"12787, 2040"
NA1_4819916591,19:22,Jhin,"['Warwick', 'Taliyah', 'Thresh']","13448, 2193"
NA1_4819916591,22:25,Lillia,[],"10707, 4641"
NA1_4819916591,26:40,FiddleSticks,"['Taliyah', 'Thresh']","11122, 4958"
NA1_4819916591,26:45,Garen,"['Warwick', 'Taliyah', 'Thresh']","11277, 6046"
NA1_4819916591,31:16,Garen,"['Volibear', 'Warwick', 'Thresh']","11100, 1926"
NA1_4819916591,31:41,TahmKench,"['Volibear', 'Taliyah', 'Thresh']","10399, 5548"
NA1_4819916591,31:43,Jhin,"['Warwick', 'Thresh']","8949, 5442"
NA1_4819916591,32:41,Lillia,[],"6334, 6014"
NA1_4819916591,37:06,FiddleSticks,"['Warwick', 'Taliyah', 'Thresh']","8471, 5625"
NA1_4819916591,37:06,Lillia,"['Warwick', 'Taliyah', 'Thresh']","8301, 5249"
NA1_4819916591,37:25,TahmKench,['Warwick'],"9012, 6078"
