timestamp,killed_by_champion,assisting_champions,position
7:23,Kaisa,['Senna'],"14122, 4705"
9:07,Kaisa,['Senna'],"12536, 2612"
9:48,Kaisa,['Senna'],"13672, 2808"
10:47,Rammus,"['Kaisa', 'Senna']","11946, 1555"
12:40,Kaisa,"['Malphite', 'Rammus', 'Senna']","13603, 2964"
16:55,Malphite,"['Rammus', 'Senna']","8892, 4691"
18:06,Kaisa,['Rammus'],"11610, 1073"
25:33,Kaisa,"['Malphite', 'Kayle']","13844, 13292"
27:16,Kaisa,[],"11016, 10700"
28:44,Kaisa,['Senna'],"5796, 5166"
30:08,Kaisa,"['Rammus', 'Senna']","13400, 6945"
