timestamp,position
7:58,"13621, 3753"
13:32,"9583, 1549"
17:06,"13846, 5245"
17:26,"11427, 8231"
21:00,"12382, 7576"
22:39,"7504, 8649"
24:17,"8375, 12232"
25:02,"13265, 12830"
25:16,"12969, 12915"
