timestamp,position
2:55,"13660, 2932"
5:40,"12944, 3376"
19:31,"6954, 12544"
24:57,"3945, 10349"
25:59,"9789, 9575"
28:32,"13159, 12183"
31:23,"8884, 12751"
32:07,"8540, 12197"
33:45,"11729, 6893"
